tipo_propuesta_formativa_desc,propuesta_formativa_desc,anio_academico,actividad_desc,periodo_lectivo,catedra_desc,comision_desc,condicion_regularidad_desc,resultado_desc,cantidad_alumnos,total,porcentaje
Ciclo Básico,Licenciatura en Administración,2020,(11-00004) - MICROECONOMIA I,11 - CURSOS VERANO,DE SANTIS_11-00004,DE SANTIS,Libre,Libre,39,,
Ciclo Básico,Licenciatura en Administración,2020,(11-00004) - MICROECONOMIA I,11 - CURSOS VERANO,DE SANTIS_11-00004,DE SANTIS,Libre,Sin Actuación,36,,
Ciclo Básico,Licenciatura en Administración,2020,(11-00004) - MICROECONOMIA I,11 - CURSOS VERANO,DE SANTIS_11-00004,DE SANTIS,Regular,Regular,60,,
Ciclo Básico,Licenciatura en Economía,2020,(11-00004) - MICROECONOMIA I,11 - CURSOS VERANO,DE SANTIS_11-00004,DE SANTIS,Libre,Libre,11,,
Ciclo Básico,Licenciatura en Economía,2020,(11-00004) - MICROECONOMIA I,11 - CURSOS VERANO,DE SANTIS_11-00004,DE SANTIS,Libre,Sin Actuación,4,,
Ciclo Básico,Licenciatura en Economía,2020,(11-00004) - MICROECONOMIA I,11 - CURSOS VERANO,DE SANTIS_11-00004,DE SANTIS,Regular,Regular,26,,
Ciclo Básico,Ciencias Económicas,2020,(11-00004) - MICROECONOMIA I,11 - PRIMER SEMESTRE,DISTANCIA_11-00004,DISTANCIA,Libre,Libre,77,,
Ciclo Básico,Ciencias Económicas,2020,(11-00004) - MICROECONOMIA I,11 - PRIMER SEMESTRE,DISTANCIA_11-00004,DISTANCIA,Regular,Regular,86,,
Ciclo Básico,Contador Público,2020,(11-00004) - MICROECONOMIA I,11 - PRIMER SEMESTRE,DISTANCIA_11-00004,DISTANCIA,Libre,Libre,172,,
Ciclo Básico,Contador Público,2020,(11-00004) - MICROECONOMIA I,11 - PRIMER SEMESTRE,DISTANCIA_11-00004,DISTANCIA,Regular,Regular,201,,
Ciclo Básico,Licenciatura en Administración,2020,(11-00004) - MICROECONOMIA I,11 - PRIMER SEMESTRE,DISTANCIA_11-00004,DISTANCIA,Libre,Libre,80,,
Ciclo Básico,Licenciatura en Administración,2020,(11-00004) - MICROECONOMIA I,11 - PRIMER SEMESTRE,DISTANCIA_11-00004,DISTANCIA,Regular,Regular,101,,
Ciclo Básico,Licenciatura en Economía,2020,(11-00004) - MICROECONOMIA I,11 - PRIMER SEMESTRE,DISTANCIA_11-00004,DISTANCIA,Libre,Libre,17,,
Ciclo Básico,Licenciatura en Economía,2020,(11-00004) - MICROECONOMIA I,11 - PRIMER SEMESTRE,DISTANCIA_11-00004,DISTANCIA,Regular,Regular,18,,
Ciclo Básico,Ciencias Económicas,2020,(11-00004) - MICROECONOMIA I,11 - SEGUNDO SEMESTRE,AISA_11-00004,AISA,Libre,Libre,35,,
Ciclo Básico,Ciencias Económicas,2020,(11-00004) - MICROECONOMIA I,11 - SEGUNDO SEMESTRE,AISA_11-00004,AISA,Libre,Sin Actuación,37,,
Ciclo Básico,Ciencias Económicas,2020,(11-00004) - MICROECONOMIA I,11 - SEGUNDO SEMESTRE,AISA_11-00004,AISA,Regular,Regular,29,,
Ciclo Básico,Ciencias Económicas,2020,(11-00004) - MICROECONOMIA I,11 - SEGUNDO SEMESTRE,CUTTICA_11-00004,CUTTICA,Libre,Libre,15,,
Ciclo Básico,Ciencias Económicas,2020,(11-00004) - MICROECONOMIA I,11 - SEGUNDO SEMESTRE,CUTTICA_11-00004,CUTTICA,Libre,Sin Actuación,22,,
Ciclo Básico,Ciencias Económicas,2020,(11-00004) - MICROECONOMIA I,11 - SEGUNDO SEMESTRE,CUTTICA_11-00004,CUTTICA,Regular,Regular,3,,
Ciclo Básico,Ciencias Económicas,2020,(11-00004) - MICROECONOMIA I,11 - SEGUNDO SEMESTRE,DE SANTIS_11-00004,DE SANTIS,Libre,Libre,14,,
Ciclo Básico,Ciencias Económicas,2020,(11-00004) - MICROECONOMIA I,11 - SEGUNDO SEMESTRE,DE SANTIS_11-00004,DE SANTIS,Libre,Sin Actuación,33,,
Ciclo Básico,Ciencias Económicas,2020,(11-00004) - MICROECONOMIA I,11 - SEGUNDO SEMESTRE,DE SANTIS_11-00004,DE SANTIS,Regular,Regular,3,,
Ciclo Básico,Ciencias Económicas,2020,(11-00004) - MICROECONOMIA I,11 - SEGUNDO SEMESTRE,DISTANCIA_11-00004,DISTANCIA,Libre,Libre,11,,
Ciclo Básico,Ciencias Económicas,2020,(11-00004) - MICROECONOMIA I,11 - SEGUNDO SEMESTRE,DISTANCIA_11-00004,DISTANCIA,Libre,Sin Actuación,27,,
Ciclo Básico,Ciencias Económicas,2020,(11-00004) - MICROECONOMIA I,11 - SEGUNDO SEMESTRE,DISTANCIA_11-00004,DISTANCIA,Regular,Regular,12,,
Ciclo Básico,Ciencias Económicas,2020,(11-00004) - MICROECONOMIA I,11 - SEGUNDO SEMESTRE,OVIEDO_11-00004,OVIEDO,Libre,Libre,16,,
Ciclo Básico,Ciencias Económicas,2020,(11-00004) - MICROECONOMIA I,11 - SEGUNDO SEMESTRE,OVIEDO_11-00004,OVIEDO,Libre,Sin Actuación,86,,
Ciclo Básico,Ciencias Económicas,2020,(11-00004) - MICROECONOMIA I,11 - SEGUNDO SEMESTRE,OVIEDO_11-00004,OVIEDO,Regular,Regular,7,,
Ciclo Básico,Ciencias Económicas,2020,(11-00004) - MICROECONOMIA I,11 - SEGUNDO SEMESTRE,VALQUEZ_11-00004,VALQUEZ,Libre,Libre,18,,
Ciclo Básico,Ciencias Económicas,2020,(11-00004) - MICROECONOMIA I,11 - SEGUNDO SEMESTRE,VALQUEZ_11-00004,VALQUEZ,Libre,Sin Actuación,19,,
Ciclo Básico,Ciencias Económicas,2020,(11-00004) - MICROECONOMIA I,11 - SEGUNDO SEMESTRE,VALQUEZ_11-00004,VALQUEZ,Regular,Regular,2,,
Ciclo Básico,Contador Público,2020,(11-00004) - MICROECONOMIA I,11 - SEGUNDO SEMESTRE,AISA_11-00004,AISA,Libre,Libre,103,,
Ciclo Básico,Contador Público,2020,(11-00004) - MICROECONOMIA I,11 - SEGUNDO SEMESTRE,AISA_11-00004,AISA,Libre,Sin Actuación,81,,
Ciclo Básico,Contador Público,2020,(11-00004) - MICROECONOMIA I,11 - SEGUNDO SEMESTRE,AISA_11-00004,AISA,Regular,Regular,117,,
Ciclo Básico,Contador Público,2020,(11-00004) - MICROECONOMIA I,11 - SEGUNDO SEMESTRE,CUTTICA_11-00004,CUTTICA,Libre,Libre,68,,
Ciclo Básico,Contador Público,2020,(11-00004) - MICROECONOMIA I,11 - SEGUNDO SEMESTRE,CUTTICA_11-00004,CUTTICA,Libre,Sin Actuación,47,,
