"Tipo Propuesta Formativa","Propuesta Formativa","Año","Período","Resultado","Finales"
"Grado","Profesorado de Enseñanza Media y Superior en Ciencias Económicas -Ciclo de Complementación Curricular-","2019","2019 - 2 - 11 - Febrero - Marzo","Ausente","62.0"
"Grado","Profesorado de Enseñanza Media y Superior en Ciencias Económicas -Ciclo de Complementación Curricular-","2019","2019 - 2 - Julio - Agosto","Reprobado","3.0"
"Grado","Profesorado de Enseñanza Media y Superior en Ciencias Económicas -Ciclo de Complementación Curricular-","2019","2019 - 2 - 11 - Febrero - Marzo","Reprobado","1.0"
"Grado","Profesorado de Enseñanza Media y Superior en Ciencias Económicas -Ciclo de Complementación Curricular-","2020","2020 - 2 - 11 - Febrero - Marzo","Aprobado","108.0"
"Grado","Profesorado de Enseñanza Media y Superior en Ciencias Económicas -Ciclo de Complementación Curricular-","2020","2020 - 2 - 11- Julio - Agosto","Aprobado","405.0"
"Grado","Profesorado de Enseñanza Media y Superior en Ciencias Económicas -Ciclo de Complementación Curricular-","2020","2020 - 2 - 11 - Noviembre - Diciembre","Aprobado","367.0"
"Grado","Profesorado de Enseñanza Media y Superior en Ciencias Económicas -Ciclo de Complementación Curricular-","2020","2020 - 2 - 11 - Turno Especial de Mayo","Aprobado","39.0"
"Grado","Profesorado de Enseñanza Media y Superior en Ciencias Económicas -Ciclo de Complementación Curricular-","2020","2020 - 2 - 11 - Turno Especial de Septiembre","Aprobado","62.0"
"Grado","Profesorado de Enseñanza Media y Superior en Ciencias Económicas -Ciclo de Complementación Curricular-","2020","2020 - 2 - 11 - Febrero - Marzo","Ausente","66.0"
"Grado","Profesorado de Enseñanza Media y Superior en Ciencias Económicas -Ciclo de Complementación Curricular-","2020","2020 - 2 - 11- Julio - Agosto","Ausente","162.0"
"Grado","Profesorado de Enseñanza Media y Superior en Ciencias Económicas -Ciclo de Complementación Curricular-","2020","2020 - 2 - 11 - Noviembre - Diciembre","Ausente","113.0"
"Grado","Profesorado de Enseñanza Media y Superior en Ciencias Económicas -Ciclo de Complementación Curricular-","2020","2020 - 2 - 11 - Turno Especial de Mayo","Ausente","22.0"
"Grado","Profesorado de Enseñanza Media y Superior en Ciencias Económicas -Ciclo de Complementación Curricular-","2020","2020 - 2 - 11 - Turno Especial de Septiembre","Ausente","48.0"
"Grado","Profesorado de Enseñanza Media y Superior en Ciencias Económicas -Ciclo de Complementación Curricular-","2020","2020 - 2 - 11 - Febrero - Marzo","Reprobado","4.0"
"Grado","Profesorado de Enseñanza Media y Superior en Ciencias Económicas -Ciclo de Complementación Curricular-","2020","2020 - 2 - 11- Julio - Agosto","Reprobado","5.0"
"Grado","Profesorado de Enseñanza Media y Superior en Ciencias Económicas -Ciclo de Complementación Curricular-","2020","2020 - 2 - 11 - Noviembre - Diciembre","Reprobado","7.0"
"Grado","Profesorado de Enseñanza Media y Superior en Ciencias Económicas -Ciclo de Complementación Curricular-","2021","2021 - 2 - 11 - Julio - Agosto","Aprobado","344.0"
"Grado","Profesorado de Enseñanza Media y Superior en Ciencias Económicas -Ciclo de Complementación Curricular-","2021","2021 - 2 - 11 - Turno Especial de Mayo","Aprobado","21.0"
"Grado","Profesorado de Enseñanza Media y Superior en Ciencias Económicas -Ciclo de Complementación Curricular-","2021","2021 - 2 - 11 - Turno Especial de Septiembre","Aprobado","30.0"
"Grado","Profesorado de Enseñanza Media y Superior en Ciencias Económicas -Ciclo de Complementación Curricular-","2021","2021 - 2 - 11 - Noviembre Diciembre 2021","Aprobado","224.0"
"Grado","Profesorado de Enseñanza Media y Superior en Ciencias Económicas -Ciclo de Complementación Curricular-","2021","2021 - 2 - 11 - Julio - Agosto","Ausente","132.0"
"Grado","Profesorado de Enseñanza Media y Superior en Ciencias Económicas -Ciclo de Complementación Curricular-","2021","2021 - 2 - 11 - Turno Especial de Mayo","Ausente","28.0"
"Grado","Profesorado de Enseñanza Media y Superior en Ciencias Económicas -Ciclo de Complementación Curricular-","2021","2021 - 2 - 11 - Turno Especial de Septiembre","Ausente","28.0"
"Grado","Profesorado de Enseñanza Media y Superior en Ciencias Económicas -Ciclo de Complementación Curricular-","2021","2021 - 2 - 11 - Noviembre Diciembre 2021","Ausente","60.0"
"Grado","Profesorado de Enseñanza Media y Superior en Ciencias Económicas -Ciclo de Complementación Curricular-","2021","2021 - 2 - 11 - Julio - Agosto","Reprobado","6.0"
