"Año","Propuesta Formativa","Período","Resultado","Finales"
"2020","Licenciatura en Gestión Universitaria","2020 - 2 - 11 - Noviembre - Diciembre","Aprobado","176.0"
"2020","Licenciatura en Gestión Universitaria","2020 - 2 - 11 - Febrero - Marzo","Ausente","9.0"
"2020","Licenciatura en Gestión Universitaria","2020 - 2 - 11- Julio - Agosto","Ausente","3.0"
"2020","Licenciatura en Gestión Universitaria","2020 - 2 - 11 - Noviembre - Diciembre","Ausente","30.0"
"2020","Licenciatura en Gestión Universitaria","2020 - 2 - 11 - Noviembre - Diciembre","Reprobado","6.0"
"2020","Profesorado de Enseñanza Media y Superior en Ciencias Económicas -Ciclo de Complementación Curricular-","2020 - 2 - 11 - Febrero - Marzo","Aprobado","108.0"
"2020","Profesorado de Enseñanza Media y Superior en Ciencias Económicas -Ciclo de Complementación Curricular-","2020 - 2 - 11- Julio - Agosto","Aprobado","405.0"
"2020","Profesorado de Enseñanza Media y Superior en Ciencias Económicas -Ciclo de Complementación Curricular-","2020 - 2 - 11 - Noviembre - Diciembre","Aprobado","367.0"
"2020","Profesorado de Enseñanza Media y Superior en Ciencias Económicas -Ciclo de Complementación Curricular-","2020 - 2 - 11 - Turno Especial de Mayo","Aprobado","39.0"
"2020","Profesorado de Enseñanza Media y Superior en Ciencias Económicas -Ciclo de Complementación Curricular-","2020 - 2 - 11 - Turno Especial de Septiembre","Aprobado","62.0"
"2020","Profesorado de Enseñanza Media y Superior en Ciencias Económicas -Ciclo de Complementación Curricular-","2020 - 2 - 11 - Febrero - Marzo","Ausente","66.0"
"2020","Profesorado de Enseñanza Media y Superior en Ciencias Económicas -Ciclo de Complementación Curricular-","2020 - 2 - 11- Julio - Agosto","Ausente","162.0"
"2020","Profesorado de Enseñanza Media y Superior en Ciencias Económicas -Ciclo de Complementación Curricular-","2020 - 2 - 11 - Noviembre - Diciembre","Ausente","113.0"
"2020","Profesorado de Enseñanza Media y Superior en Ciencias Económicas -Ciclo de Complementación Curricular-","2020 - 2 - 11 - Turno Especial de Mayo","Ausente","22.0"
"2020","Profesorado de Enseñanza Media y Superior en Ciencias Económicas -Ciclo de Complementación Curricular-","2020 - 2 - 11 - Turno Especial de Septiembre","Ausente","48.0"
"2020","Profesorado de Enseñanza Media y Superior en Ciencias Económicas -Ciclo de Complementación Curricular-","2020 - 2 - 11 - Febrero - Marzo","Reprobado","4.0"
"2020","Profesorado de Enseñanza Media y Superior en Ciencias Económicas -Ciclo de Complementación Curricular-","2020 - 2 - 11- Julio - Agosto","Reprobado","5.0"
"2020","Profesorado de Enseñanza Media y Superior en Ciencias Económicas -Ciclo de Complementación Curricular-","2020 - 2 - 11 - Noviembre - Diciembre","Reprobado","7.0"
"2020","Doctorado en Ciencias Económicas con Mención Ciencias Empresariales","2020 - 2 - P11 - Turno Febrero 2021","Aprobado","2.0"
"2020","Doctorado en Ciencias Económicas con Mención Ciencias Empresariales","2020 - 2 - Turno Diciembre 2020-Posgrado-Facultad de Ciencias Económicas","Aprobado","2.0"
"2020","Doctorado en Ciencias Económicas con Mención Ciencias Empresariales","2020 - 2 - Turno Único 2020","Aprobado","30.0"
"2020","Doctorado en Ciencias Económicas con Mención Ciencias Empresariales","2020 - 2 - Turno Septiembre 2020","Aprobado","1.0"
"2020","Doctorado en Ciencias Económicas con Mención Ciencias Empresariales","2020 - 2 - Turno Octubre 2020","Aprobado","14.0"
"2020","Doctorado en Ciencias Económicas con Mención Ciencias Empresariales","2020 - 2 - Turno Noviembre 2020","Aprobado","6.0"
"2020","Doctorado en Ciencias Económicas con Mención en Ciencias Empresariales","2020 - 2 - Turno Único 2020","Aprobado","1.0"
"2020","Doctorado en Ciencias Económicas con Mención en Ciencias Empresariales","2020 - 2 - Turno Noviembre 2020","Aprobado","1.0"
"2020","Doctorado en Ciencias Económicas con Mención en Ciencias Empresariales","2020 - 2 - Turno Único 2020","Aprobado","1.0"
"2020","Doctorado en Ciencias Económicas con Mención en Economía","2020 - 2 - P11 - Turno Febrero 2021","Aprobado","1.0"
"2020","Doctorado en Ciencias Económicas con Mención en Economía","2020 - 2 - Turno Diciembre 2020-Posgrado-Facultad de Ciencias Económicas","Aprobado","1.0"
"2020","Doctorado en Ciencias Económicas con Mención en Economía","2020 - 2 - Turno Único 2020","Aprobado","21.0"
"2020","Doctorado en Ciencias Económicas con Mención en Economía","2020 - 2 - Turno Octubre 2020","Aprobado","3.0"
"2020","Doctorado en Ciencias Económicas con Mención en Economía","2020 - 2 - Turno Noviembre 2020","Aprobado","4.0"
"2020","Doctorado en Demografía","2020 - 2 - P11 - Turno Febrero 2021","Aprobado","62.0"
"2020","Doctorado en Demografía","2020 - 2 - Turno Diciembre 2020-Posgrado-Facultad de Ciencias Económicas","Aprobado","52.0"
"2020","Doctorado en Demografía","2020 - 2 - Turno Único 2020","Aprobado","392.0"
"2020","Doctorado en Demografía","2020 - 2 - Turno Septiembre 2020","Aprobado","4.0"
"2020","Doctorado en Demografía","2020 - 2 - Turno Octubre 2020","Aprobado","1.0"
"2020","Doctorado en Demografía","2020 - 2 - Turno Noviembre 2020","Aprobado","24.0"
"2020","Doctorado en Demografía","2020 - 2 - P11 - Turno Febrero 2021","Ausente","1.0"
"2020","Doctorado en Demografía","2020 - 2 - Turno Único 2020","Ausente","1.0"
"2020","Especialización en Contabilidad Superior y Auditoría","2020 - 2 - P11 - Turno Febrero 2021","Aprobado","4.0"
"2020","Especialización en Contabilidad Superior y Auditoría","2020 - 2 - Turno Diciembre 2020-Posgrado-Facultad de Ciencias Económicas","Aprobado","54.0"
"2020","Especialización en Contabilidad Superior y Auditoría","2020 - 2 - Turno Único 2020","Aprobado","96.0"
"2020","Especialización en Contabilidad Superior y Auditoría","2020 - 2 - Turno Septiembre 2020","Aprobado","98.0"
"2020","Especialización en Contabilidad Superior y Auditoría","2020 - 2 - Turno Octubre 2020","Aprobado","66.0"
"2020","Especialización en Contabilidad Superior y Auditoría","2020 - 2 - Turno Noviembre 2020","Aprobado","57.0"
"2020","Especialización en Contabilidad Superior y Auditoría","2020 - 2 - Turno Diciembre 2020-Posgrado-Facultad de Ciencias Económicas","Ausente","17.0"
